costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,fyrc,sic,ebitda,revt
A,CAD,STD,INDL,C,019943,2023-12-31,FORTUNE BAY CORP,FTBYF,12,1000,-1.3000,0.0000
A,USD,STD,INDL,C,019944,2023-12-31,FIRST TR AM INDL RENAISSANCE,AIRR,12,6722,,
A,USD,STD,INDL,C,019945,2023-12-31,FIRST TRUST DRSY WRHT MTM,DDIV,12,6722,,
A,USD,STD,INDL,C,019959,2023-12-31,CAMBRIA GLOBAL VALUE ETF,GVAL,12,6722,,
A,USD,STD,INDL,C,019966,2023-12-31,CREATIVE MEDIA & COM TR CORP,CMCT,12,6798,,118.8310
A,USD,STD,INDL,C,019974,2023-12-31,SIXTH STREET SPECIALTY LENDI,TSLX,12,6797,330.1300,438.0870
A,USD,STD,INDL,C,019977,2023-12-31,ENERGOUS CORP,WATT,12,3690,-21.5530,0.4740
A,CAD,STD,INDL,C,019987,2023-12-31,AECON GROUP INC,AEGXF,12,1600,77.7870,4643.8420
A,USD,STD,INDL,C,019988,2023-12-31,MEDIWOUND LTD,MDWD,12,2836,-14.1980,18.6860
A,USD,STD,INDL,C,019998,2023-12-31,MEDPACE HOLDINGS INC,MEDP,12,8731,363.1530,1885.8420
A,USD,STD,INDL,C,020004,2023-12-31,WEIBO CORP,WB,12,7370,531.4430,1759.8360
A,USD,STD,INDL,C,020007,2023-12-31,DUNDEE PRECIOUS METLS  -CL A,DPMLF,12,1040,272.2610,520.0910
A,USD,STD,INDL,C,020009,2023-12-31,LEJU HOLDINGS LTD  -ADR,LEJUY,12,6531,-43.7710,316.8540
I,USD,STD,INDL,C,020010,2023-12-31,AGILE THERAPEUTICS INC,AGRX,12,2834,-19.4980,19.5930
A,USD,STD,INDL,C,020011,2023-12-31,METALLUS INC,MTUS,12,3312,163.8000,1362.4000
A,USD,STD,INDL,C,020018,2023-12-31,ALDEYRA THERAPEUTICS INC,ALDX,12,2836,-42.5310,0.0000
A,USD,STD,FS,C,020019,2023-12-31,CVB FINANCIAL CORP,CVBF,12,6020,,665.6600
A,USD,STD,INDL,C,020019,2023-12-31,CVB FINANCIAL CORP,CVBF,12,6020,384.0200,665.6600
A,USD,STD,INDL,C,020020,2023-12-31,CIVEO CORP,CVEO,12,7011,97.9130,700.8050
A,USD,STD,FS,C,020029,2023-03-31,CAPITAL SOUTHWEST CORP,CSWC,3,6797,,83.6820
A,USD,STD,INDL,C,020029,2023-03-31,CAPITAL SOUTHWEST CORP,CSWC,3,6797,97.9130,119.3000
A,USD,STD,INDL,C,020040,2023-12-31,SCYNEXIS INC,SCYX,12,2836,88.3400,140.1410
A,USD,STD,INDL,C,020041,2023-12-31,TCTM KIDS IT EDUCAT INC -ADR,VSA,12,8200,8.2620,193.9440
A,USD,STD,INDL,C,020044,2023-12-31,BGSF INC,BGSF,12,7363,24.1080,313.1670
A,USD,STD,INDL,C,020059,2023-10-31,FIRST REAL ESTATE TR NJ INC,FREVS,10,6798,,29.0860
I,USD,STD,INDL,C,020066,2023-12-31,FIRST TR NEW OPP MLP &ENERGY,FPL,12,6726,,
A,USD,STD,INDL,C,020067,2023-12-31,INTERCONTINENTAL HOTELS GRP,IHG,12,7011,1080.0000,4624.0000
A,USD,STD,INDL,C,020074,2023-03-31,PETVIVO HOLDINGS INC,PETV,3,3842,-8.6200,0.9170
A,USD,STD,INDL,C,020087,2023-12-31,PROSHARES DJ BROOKFIELD GLBL,TOLZ,12,6722,,
A,USD,STD,INDL,C,020088,2023-01-31,BOX INC,BOX,1,7370,93.9010,990.8740
A,CAD,STD,INDL,C,020096,2023-03-31,CANOPY GROWTH CORP,CGC,3,2833,-385.3570,402.9040
A,USD,STD,INDL,C,020098,2023-12-31,ALPS EMERG SECTOR DIV DOGS,EDOG,12,6722,,
A,USD,STD,INDL,C,020105,2023-12-31,FS KKR CAPITAL CORP,FSK,12,6797,1359.0000,1830.0000
A,USD,STD,FS,C,020109,2023-12-31,CAPITAL CITY BK GROUP INC,CCBG,12,6020,,252.6780
A,USD,STD,INDL,C,020109,2023-12-31,CAPITAL CITY BK GROUP INC,CCBG,12,6020,99.4370,252.6780
A,USD,STD,INDL,C,020115,2023-06-30,PHIBRO ANIMAL HEALTH CORP,PAHC,6,2833,112.7530,977.8890
A,USD,STD,INDL,C,020116,2023-12-31,PAYCOM SOFTWARE INC,PAYC,12,7370,565.2700,1693.6740
A,USD,STD,INDL,C,020126,2023-03-31,ADVANCED DRAINAGE SYSTEMS,WMS,3,3080,868.7830,3071.1210
A,USD,STD,INDL,C,020128,2023-12-31,CHEETAH MOBILE INC  -ADR,CMCM,12,7372,-25.0250,94.4210
A,USD,STD,INDL,C,020129,2023-12-31,MATERIALISE NV,MTLS,12,7372,32.3500,283.1090
I,USD,STD,INDL,C,020130,2023-12-31,ATLANTICA SUSTAINABLE INFRA,AY,12,4991,740.3760,1181.0810
A,USD,STD,INDL,C,020143,2023-12-31,CARECLOUD INC,CCLD,12,7370,10.3920,117.0590
I,USD,STD,INDL,C,020147,2023-12-31,SUPERIOR DRILLING PRODUCTS,SDPI,12,3533,3.1340,20.9740
A,USD,STD,INDL,C,020149,2023-03-31,CENGAGE LEARNING HLDGS II,CNGO,3,8200,293.6000,1423.5000
A,USD,STD,INDL,C,020170,2023-12-31,TUNIU CORP  -ADR,TOUR,12,4700,5.7820,62.2320
A,USD,STD,INDL,C,020185,2023-09-30,SCOTTS MIRACLE-GRO CO,SMG,9,2870,384.2000,3551.3000
A,USD,STD,INDL,C,020190,2023-12-31,NEW GERMANY FUND INC,GF,12,6726,,
